,Speaker,Topic,Token
176,Jina,Art and Exhibition,mean
177,Jina,Art and Exhibition,make
178,Jina,Art and Exhibition,lower
179,Jina,Art and Exhibition,burden
180,Jina,Art and Exhibition,let
181,Jina,Art and Exhibition,deepen
182,Jina,Art and Exhibition,topic
183,Jina,Art and Exhibition,plan
184,Jina,Art and Exhibition,exhibition:
185,Jina,Art and Exhibition,art
186,Jina,Art and Exhibition,done
187,Jina,Art and Exhibition,thought
188,Jina,Art and Exhibition,idea
189,Jina,Art and Exhibition,approach
190,Jina,Art and Exhibition,saw
191,Jina,Art and Exhibition,paint
192,Jina,Art and Exhibition,portrait
193,Jina,Art and Exhibition,sad
194,Jina,Art and Exhibition,keep
195,Jina,Art and Exhibition,stare
196,Jina,Art and Exhibition,see
197,Jina,Art and Exhibition,anymor
198,Jina,Art and Exhibition,weird
199,Jina,Art and Exhibition,power
200,Jina,Art and Exhibition,make
201,Jina,Art and Exhibition,feel
202,Jina,Art and Exhibition,similar
203,Jina,Art and Exhibition,way
204,Jina,Art and Exhibition,tri
205,Jina,Art and Exhibition,describ
206,Jina,Art and Exhibition,right
207,Jina,Art and Exhibition,true
208,Jina,Art and Exhibition,person
209,Jina,Art and Exhibition,talk
210,Jina,Art and Exhibition,commun
211,Jina,Art and Exhibition,person
212,Jina,Art and Exhibition,imagin
213,Jina,Art and Exhibition,depress
214,Jina,Art and Exhibition,right
215,Jina,Art and Exhibition,today
216,Jina,Art and Exhibition,mood
217,Jina,Art and Exhibition,good
218,Jina,Art and Exhibition,bad
219,Jina,Art and Exhibition,day
220,Jina,Art and Exhibition,tend
221,Jina,Art and Exhibition,feel
222,Jina,Art and Exhibition,sensit
223,Jina,Art and Exhibition,case
224,Jina,Art and Exhibition,sens
225,Jina,Art and Exhibition,process
226,Jina,Art and Exhibition,pressur
227,Jina,Art and Exhibition,stress
228,Jina,Art and Exhibition,environ
229,Jina,Art and Exhibition,feel
230,Jina,Art and Exhibition,lack
231,Jina,Art and Exhibition,confid
232,Jina,Art and Exhibition,lower
233,Jina,Art and Exhibition,self
234,Jina,Art and Exhibition,esteem
235,Jina,Art and Exhibition,social
236,Jina,Art and Exhibition,issu
237,Jina,Art and Exhibition,relationship
238,Jina,Art and Exhibition,issu
239,Jina,Art and Exhibition,come
240,Jina,Art and Exhibition,stress
241,Jina,Art and Exhibition,factor
242,Jina,Art and Exhibition,exampl
243,Jina,Art and Exhibition,stupid
244,Jina,Art and Exhibition,japanes
245,Jina,Art and Exhibition,work
246,Jina,Art and Exhibition,cultur
247,Jina,Art and Exhibition,foreign
248,Jina,Art and Exhibition,japan
249,Jina,Art and Exhibition,open
250,Jina,Art and Exhibition,mind
251,Jina,Art and Exhibition,person
252,Jina,Art and Exhibition,japan
253,Jina,Art and Exhibition,come
254,Jina,Art and Exhibition,topic
255,Jina,Art and Exhibition,happen
256,Jina,Art and Exhibition,everi
257,Jina,Art and Exhibition,day
258,Jina,Art and Exhibition,life
259,Jina,Art and Exhibition,reactiv
260,Jina,Art and Exhibition,natur
261,Jina,Art and Exhibition,tri
262,Jina,Art and Exhibition,defens
263,Jina,Art and Exhibition,heard
264,Jina,Art and Exhibition,peopl
265,Jina,Art and Exhibition,talk
266,Jina,Art and Exhibition,japan
267,Jina,Art and Exhibition,japan
268,Jina,Art and Exhibition,normal
269,Jina,Art and Exhibition,came
270,Jina,Art and Exhibition,countri
271,Jina,Art and Exhibition,choos
272,Jina,Art and Exhibition,countri
273,Jina,Art and Exhibition,deal
274,Jina,Art and Exhibition,expect
275,Jina,Art and Exhibition,difficulti
276,Jina,Art and Exhibition,sometim
277,Jina,Art and Exhibition,seem
278,Jina,Art and Exhibition,troubl
279,Jina,Art and Exhibition,peopl
280,Jina,Art and Exhibition,troubl
281,Jina,Art and Exhibition,sound
282,Jina,Art and Exhibition,know
283,Jina,Art and Exhibition,deal
284,Jina,Art and Exhibition,societi
285,Jina,Art and Exhibition,deal
286,Jina,Art and Exhibition,way
287,Jina,Art and Exhibition,fit
288,Jina,Art and Exhibition,guy
289,Jina,Art and Exhibition,sensit
290,Jina,Art and Exhibition,talk
291,Jina,Art and Exhibition,peopl
292,Jina,Art and Exhibition,occas
293,Jina,Art and Exhibition,angri
294,Jina,Art and Exhibition,super
295,Jina,Art and Exhibition,depress
296,Jina,Art and Exhibition,know
297,Jina,Art and Exhibition,feel
298,Jina,Art and Exhibition,anger
299,Jina,Art and Exhibition,exactli
300,Jina,Art and Exhibition,cri
301,Jina,Art and Exhibition,wish
302,Jina,Art and Exhibition,cri
303,Jina,Art and Exhibition,feel
304,Jina,Art and Exhibition,better
305,Jina,Art and Exhibition,feel
306,Jina,Art and Exhibition,take
307,Jina,Art and Exhibition,shower
308,Jina,Art and Exhibition,cri
309,Jina,Art and Exhibition,cri
310,Jina,Art and Exhibition,angri
311,Jina,Art and Exhibition,recov
312,Jina,Art and Exhibition,depress
313,Jina,Art and Exhibition,argument
314,Jina,Art and Exhibition,peopl
315,Jina,Art and Exhibition,sensit
316,Jina,Art and Exhibition,admit
317,Jina,Art and Exhibition,sensit
318,Jina,Art and Exhibition,admit
319,Jina,Art and Exhibition,crazier
320,Jina,Art and Exhibition,mean
321,Jina,Art and Exhibition,depress
322,Jina,Art and Exhibition,comment
323,Jina,Art and Exhibition,close
324,Jina,Art and Exhibition,friend
325,Jina,Art and Exhibition,tend
326,Jina,Art and Exhibition,defend
327,Jina,Art and Exhibition,someon
328,Jina,Art and Exhibition,problem
329,Jina,Art and Exhibition,easili
330,Jina,Art and Exhibition,faster
331,Jina,Art and Exhibition,other
332,Jina,Art and Exhibition,easi
333,Jina,Art and Exhibition,bring
334,Jina,Art and Exhibition,lead
335,Jina,Art and Exhibition,situat
336,Jina,Art and Exhibition,talk
337,Jina,Art and Exhibition,sensit
338,Jina,Art and Exhibition,detect
339,Jina,Art and Exhibition,true
340,Jina,Art and Exhibition,stress
341,Jina,Art and Exhibition,take
342,Jina,Art and Exhibition,easi
343,Jina,Art and Exhibition,wow
344,Jina,Art and Exhibition,easi
345,Jina,Art and Exhibition,need
346,Jina,Art and Exhibition,advic
